"2-ahnd",""
"A Grain of Truth",""
"A Little Too Close to Heaven",""
"Affect of Harmlessness",""
"Air/Fire ring exchange",""
"All Shall Fear Me",""
"Amigasa",""
"Any game set",""
"Any weapon",""
"Architect of Tranquility",""
"Artful Alibi",""
"Artisan",""
"Assess Strengths",""
"Bamboo Cane",""
"Bayushi Deathdealer School",""
"Beware the Smallest Mouse",""
"Blank Forms",""
"Book of Poetry",""
"Ceremonial Tea Set",""
"Claws of the Crab",""
"Courtier, Monk",""
"Courtier, Shinobi",""
"Crackling Laughter",""
"Cunning Distraction",""
"Curse of Musubi-no-Kami",""
"Daidoji Spymaster School",""
"Deceitful Strike",""
"Decorum",""
"Deer",""
"Demon Mask",""
"Disciple of Darkness",""
"Disguise Kit",""
"Dishonorable Cheat",""
"Doji Bureaucrat School",""
"Echoes of Ancient Days",""
"Elegant Craftsman",""
"Famously Neutral",""
"Firefighter's Coat",""
"Folding Fan",""
"Folding Half-Bow",""
"Foreseen Need",""
"Formal Tea Ceremony",""
"Fun and Games",""
"Gift of Musubi-no-Kami",""
"Herbal Medicines (per dose)",""
"Hidden in Smoke",""
"Ikoma Shadow School",""
"Incisive Insight",""
"Invisible Ink (per inkwell)",""
"Isolation",""
"Kamayari",""
"Kusarifundo",""
"Kyoketsu Shoge",""
"Lackluster",""
"Legal Primer",""
"Like a Ghost",""
"Local Flare for [Region]",""
"Makeup Kit (cheap)",""
"Makeup Kit (expensive)",""
"Makibishi (per handful)",""
"Map of Crab Lands",""
"Mari",""
"Mercenary Ninja Training",""
"Metsubushi (per dose)",""
"Mizugumo (Water Spider)",""
"Modified Scabbard",""
"Mono Imi Fuda (Taboo Plaque)",""
"Ninjatō",""
"Norimono (Palanquin)",""
"Offend the Sensibilities",""
"One with the Shadows",""
"Opening and Closing Tools",""
"Other item relevant to your ancestor's victory",""
"Overconfidence in Charm",""
"Overconfidence in Creativity",""
"Overconfidence in Spiritual Sensitivity",""
"Overconfidence in Subtlety",""
"Overconfidence in Toughness",""
"Perfomers' Boat",""
"Pole-Vault",""
"Portable Boat",""
"Portable Ladder",""
"Post Facto",""
"Pot Stirrer",""
"Procedure and Protocol",""
"Roll a ten-sided die and add the resulting family heirloom to your starting items. You choose one quality and the GM chooses one quality from the list of item qualities on page 240 of the core rulebook; these are applied to the item.",""
"Roll a ten-sided die to determine a skill that can aid you in discovering the truth about your lineage.",""
"Roll a ten-sided die to determine a skill to aid you in bringing your disgraced kin to justice.",""
"Rope (fifty feet)",""
"Scroll designating rank",""
"Sekihitsu",""
"Shakuhachi",""
"Shiba Artist School",""
"Shika",""
"Shika Matchmaker School",""
"Shika Spear Dancer School",""
"Shinobigatana",""
"Silent Elimination",""
"Slicing Wind Kick",""
"Sokutoki",""
"Spiteful Love",""
"Spy Network",""
"Stealth Clothing",""
"Stillness of Death",""
"Strike First, Strike Last",""
"Sudden Clarity",""
"Support of the Kakita Dueling Academy",""
"Tekagi",""
"Tekken",""
"Tenugui",""
"The Lowest Bow",""
"The Standing Death",""
"The Ties that Bind",""
"The deed to a small piece of land on the border of Lion territory",""
"To Float or Sink",""
"Togashi Chronicler School",""
"Treaty Signing",""
"Trip the Leg",""
"Triumph During Gempuku",""
"Triumph Over the Lion",""
"Typhoon in the Bamboo Grove",""
"Uchitake",""
"Unarmed",""
"Unforgivable Performance",""
"Unsavory Past",""
"Unyielding Terms",""
"Victory before Honor",""
"Victory is the Greatest Honor",""
"Way of the Scorpion",""
"Web of Lies",""
"Well Connected in [City]",""
"What's Yours Is Mine",""
"Yasuki Yōjimbō School",""
"You gain the Benten's Curse (air) disadvantage (see page 116 of the core rulebook). Rolla ten-sided die to determine a skill that will help redeem your family.",""
"You gain the Isolation anxiety (see page 103). Choose one of your character's rings; you may reduce the value of this ring by 1 to increase the value of your Fire or Air Ring bi 1 (this still cannot raise it above 3).",""
"You gain the Support of the Kakita Dueling Academy distinction, where the Topaz Championship takes place.",""
"1-hand (thrown)","1 Hand (geworfen)"
"1-hand","1-Hand"
"1-hand (stab or slash)","1-Hand (Stich oder Schnitt)"
"2-hand","2-Hand"
"Abacus","Abakus"
"Superstition","Aberglaube"
"Ancestry Unearthed","Abstammung aufgedeckt"
"Adopted Peasant","Adoptierter Bauer"
"Agasha","Agasha"
"Agasha Mystic School","Agasha Mystik Schule"
"Akodo","Akodo"
"Akodo Commander School","Akodo Kommandantenschule"
"Akodo's Final Lesson","Akodos letzte Lektion"
"All Arts Are One","Alle Künste sind eins"
"All in Jest","Alle im Scherz"
"Allergy [choose one]","Allergie[wähle eine aus]"
"General Kata","Allgemeine Kata"
"Mundane","Alltäglich"
"Other","Andere"
"starting item","Anfangsgegenstand"
"Fishing Rod and Line","Angelrute und Leine"
"Anxiety and other","Angst und andere"
"Fear of Death","Angst vor dem Tod"
"Grace, eloquence or empathy","Anmut, Wortgewandtheit oder Mitgefühl"
"Adaptability, friendliness or awareness","Anpassungsfähigkeit, Freundlichkeit oder Aufmerksamkeit"
"Incite Haunting","Ansporn zum Spuk"
"Labor","Arbeit"
"Crossbows","Armbrüste"
"Asahina","Asahina"
"Asahina Artificer School","Asahina Künstlerschule"
"Asaka Inquisitor School","Asaka Inquisitor Schule"
"Asako","Asako"
"Asako Loremaster School","Asako Lehrmeister Schule"
"Ashidaka's Method","Ashidaka's Methode"
"Ashigaru Armor","Ashigaru Rüstung"
"Astrolabe","Astrolabium"
"Breath of the Fire Dragon","Atem des Feuerdrachens"
"Breath of Wind Style","Atem des Windes-Stil"
"Eye of the Storm","Auge des Sturms"
"Eyes of Yotogi","Augen von Yotogi"
"Keen Sight","Ausgeprägte Sicht"
"Keen Smell","Ausgeprägter Geruchsinn"
"Keen Hearing","Ausgeprägtes Gehör"
"Keen Balance","Ausgeprägtes Gleichgewicht"
"Distinction","Auszeichnung"
"Ballista","Ballista"
